0.990535,0.789015,0.541266,0.605073,0.642405,0.657581,0.662005,0.665290,0.665617,0.654965,0.648075,0.641854,0.648335,0.653436,0.668752,0.680614,0.683423,0.685318,0.688600,0.687175,0.675580,0.671211,0.670730,0.669396,0.671312,0.678542,0.672038,0.674511,0.631157
0.801253,0.962604,0.657381,0.742788,0.799358,0.813344,0.821061,0.824696,0.831699,0.818258,0.808932,0.807419,0.823546,0.834787,0.853499,0.865758,0.866647,0.866407,0.867492,0.862124,0.843214,0.831223,0.824110,0.819669,0.820725,0.828136,0.822159,0.827822,0.759223
0.464847,0.444807,0.983428,0.942072,0.881662,0.850328,0.829995,0.805716,0.766241,0.768766,0.773173,0.769504,0.712712,0.652677,0.563501,0.506276,0.474917,0.448999,0.437618,0.429760,0.394106,0.381377,0.379142,0.373724,0.373345,0.391203,0.404780,0.444441,0.315144
0.509794,0.505814,0.990963,0.965504,0.916903,0.888873,0.871922,0.849975,0.814402,0.815822,0.819049,0.815214,0.763711,0.708671,0.626174,0.573614,0.543975,0.518837,0.507876,0.500020,0.464484,0.451293,0.448366,0.442703,0.441968,0.459076,0.471239,0.508662,0.380949
0.550986,0.562768,0.987716,0.977191,0.947985,0.927672,0.914146,0.896583,0.865838,0.866724,0.868714,0.864606,0.820184,0.771534,0.696516,0.648337,0.620778,0.596623,0.586079,0.578791,0.544132,0.531469,0.528227,0.522553,0.521371,0.537159,0.547966,0.581976,0.457718
0.568321,0.590795,0.979510,0.976304,0.955451,0.944008,0.932605,0.919235,0.893034,0.894158,0.895923,0.891519,0.852023,0.808087,0.737800,0.689488,0.663194,0.640456,0.629865,0.622728,0.590029,0.577653,0.574273,0.568664,0.567551,0.582538,0.593033,0.625202,0.503113
0.580650,0.606760,0.970821,0.972737,0.958084,0.948980,0.941485,0.931231,0.909636,0.911426,0.913400,0.909812,0.873317,0.832385,0.764293,0.716093,0.689525,0.667010,0.656362,0.649084,0.617282,0.604996,0.601423,0.596171,0.595095,0.609901,0.620100,0.651600,0.532259
0.579216,0.613778,0.966305,0.970561,0.957754,0.949047,0.942547,0.934481,0.915025,0.918094,0.921385,0.918320,0.883651,0.843953,0.777969,0.728112,0.701484,0.678779,0.667546,0.659978,0.628551,0.615767,0.611780,0.606582,0.605684,0.620603,0.630553,0.662114,0.543289
0.593572,0.638799,0.954121,0.965862,0.961400,0.954610,0.950348,0.944923,0.929618,0.932275,0.935780,0.934494,0.905659,0.870452,0.809107,0.761579,0.735166,0.712605,0.701004,0.693222,0.662006,0.648688,0.644245,0.639088,0.638000,0.652610,0.661794,0.691930,0.574989
0.619308,0.673457,0.948066,0.966594,0.968072,0.962781,0.959308,0.953862,0.939897,0.941063,0.944208,0.942709,0.917927,0.886386,0.832715,0.790556,0.766322,0.745402,0.734524,0.726981,0.696034,0.682453,0.677758,0.672476,0.671627,0.685876,0.693838,0.722413,0.606509
0.660407,0.740100,0.915600,0.949833,0.966548,0.968970,0.967698,0.965381,0.956410,0.955102,0.954963,0.952090,0.936999,0.916335,0.877589,0.848015,0.832236,0.816639,0.808144,0.800672,0.773354,0.760561,0.755444,0.750162,0.749274,0.761227,0.767384,0.790795,0.680335
0.678787,0.764531,0.890656,0.933226,0.959272,0.967324,0.967065,0.965770,0.957813,0.956229,0.954264,0.949726,0.937762,0.921780,0.890433,0.867608,0.856229,0.844455,0.838830,0.835774,0.811889,0.801090,0.796754,0.791863,0.790738,0.800771,0.806208,0.825375,0.720744
0.693197,0.780172,0.850727,0.900980,0.936292,0.952608,0.953437,0.955570,0.950053,0.948843,0.944942,0.939419,0.932532,0.922723,0.900014,0.881573,0.875368,0.868806,0.865870,0.865196,0.849875,0.844812,0.842706,0.838791,0.837547,0.845178,0.850898,0.866161,0.769374
0.704021,0.793797,0.805489,0.864676,0.909823,0.932671,0.935270,0.940686,0.938908,0.937869,0.933265,0.927113,0.926341,0.923631,0.909600,0.896750,0.893925,0.890983,0.890334,0.890941,0.880813,0.877960,0.877368,0.874587,0.874793,0.881168,0.886288,0.898566,0.810767
0.702241,0.791922,0.758057,0.823164,0.876276,0.905606,0.909378,0.917425,0.917635,0.916514,0.910664,0.903558,0.907206,0.909444,0.902227,0.893581,0.894840,0.895064,0.896285,0.898949,0.895992,0.896875,0.898070,0.896758,0.897042,0.902007,0.909543,0.918212,0.841233
0.698365,0.796282,0.725890,0.796183,0.855197,0.886743,0.891840,0.902584,0.906307,0.905551,0.899701,0.893139,0.902129,0.909000,0.906891,0.899815,0.901923,0.903746,0.904811,0.907133,0.906483,0.907863,0.909267,0.908749,0.909972,0.915262,0.923638,0.934820,0.868580
0.632640,0.750658,0.406595,0.509310,0.603738,0.653197,0.670284,0.694121,0.715098,0.712390,0.703501,0.697318,0.733494,0.768576,0.808099,0.825809,0.841968,0.856616,0.862977,0.869248,0.884192,0.891305,0.895458,0.897642,0.900359,0.902339,0.909505,0.914503,0.945134
